Reporter Identifier	VALUE
ILMN_1802380	9.596739558
ILMN_1893287	6.525292578
ILMN_1736104	6.424819514
ILMN_1792389	6.745326814
ILMN_1854015	6.581020217
ILMN_1904757	6.447121875
ILMN_1740305	6.396103282
ILMN_1665168	6.271892033
ILMN_2375156	6.705311249
ILMN_1705423	6.465319712
ILMN_1716072	6.472445683
ILMN_1697642	8.331424622
ILMN_1788184	6.572348575
ILMN_1681845	7.850222444
ILMN_1823296	6.538428838
ILMN_1889845	6.475279122
ILMN_1746923	6.586132052
ILMN_1690979	6.90875135
ILMN_1811114	6.368690703
ILMN_1660729	6.600161173
ILMN_1772314	6.438907049
ILMN_1821005	6.627890895
ILMN_2129572	6.457781943
ILMN_1842444	6.436771702
ILMN_1705659	6.508980844
ILMN_1811945	6.408646
ILMN_1694630	6.521981409
ILMN_1860402	6.395677726
ILMN_1701042	6.57694754
ILMN_1778562	6.572027526
ILMN_1819355	6.352668093
ILMN_1797055	6.861426992
ILMN_1674316	6.746578964
ILMN_1718358	6.468285746
ILMN_1662772	6.550834497
ILMN_1909211	6.446972636
ILMN_1713038	6.213420093
ILMN_1670547	6.751602135
ILMN_2342515	7.142563045
ILMN_1800425	9.947870214
ILMN_1728019	7.744197468
ILMN_1856669	6.360441298
ILMN_1783852	6.556498984
ILMN_1833968	6.388779907
ILMN_1882325	6.588860156
ILMN_1652284	6.32306299
ILMN_1721344	8.753550913
ILMN_1892501	6.423926667
ILMN_1691223	6.408967062
ILMN_1766219	6.405682456
ILMN_1679973	6.659855164
ILMN_1701854	9.159254369
ILMN_1678707	12.37646382
ILMN_1914435	6.561334418
ILMN_2276504	6.462697773
ILMN_1778226	8.905033025
ILMN_1669674	7.264178754
ILMN_1678052	8.325416398
ILMN_1762305	6.313963677
ILMN_2045576	6.489059054
ILMN_1883097	6.462730422
ILMN_1682812	7.84421764
ILMN_1777811	8.941806433
ILMN_1667052	6.600666461
ILMN_1663447	6.859708031
ILMN_2187002	6.475105065
ILMN_2343563	9.953059555
ILMN_1902697	6.508005906
ILMN_1790014	6.923359819
ILMN_1775441	6.510399913
ILMN_1758529	6.338790621
ILMN_1853286	6.417272897
ILMN_1865632	6.376653411
ILMN_1715616	9.333961337
ILMN_1747271	8.120365011
ILMN_1759175	6.85953888
ILMN_1897743	6.528146628
ILMN_1821666	6.417609851
ILMN_2202481	7.113714853
ILMN_1797056	6.352322192
ILMN_1900301	6.560618809
ILMN_1687035	6.587470035
ILMN_1877027	6.592259963
ILMN_2383638	6.580393306
ILMN_1801184	6.57250952
ILMN_1768900	6.52193317
ILMN_1698995	6.537299123
ILMN_1864746	6.619172324
ILMN_1680614	6.575207996
ILMN_1658108	6.619057639
ILMN_1709153	7.731239494
ILMN_1895632	6.660949983
ILMN_1869708	6.316563233
ILMN_1839752	6.394838667
ILMN_1687440	8.718457333
ILMN_1791534	6.450739096
ILMN_1802450	6.369241738
ILMN_1661264	13.19986781
ILMN_1760441	8.865529063
ILMN_1691173	6.369194088
ILMN_2160160	7.287053953
ILMN_1801040	7.296351674
ILMN_2184262	6.411006972
ILMN_1756578	6.988847393
ILMN_1877894	6.463331897
ILMN_2096743	6.243016809
ILMN_1683447	12.66292986
ILMN_1864370	6.496783209
ILMN_1900588	6.309737348
ILMN_1684200	6.429111075
ILMN_1687857	8.029620784
ILMN_2143148	9.121557339
ILMN_1753404	7.453023794
ILMN_2170209	7.969465894
ILMN_1732781	6.374544909
ILMN_1890986	6.464504659
ILMN_1784685	6.497780009
ILMN_1853808	6.597542764
ILMN_1907320	6.451200553
ILMN_1753196	11.6009065
ILMN_1683520	6.486026948
ILMN_1659378	6.403397257
ILMN_1684847	6.544627863
ILMN_1700144	6.63980281
ILMN_1744534	8.302751693
ILMN_1753026	6.715832392
ILMN_1679177	6.681422599
ILMN_1720041	6.298324388
ILMN_1832583	6.585488068
ILMN_2368597	7.811780342
ILMN_1680626	8.278259601
ILMN_1912611	6.520170914
ILMN_1815668	8.19151715
ILMN_1849124	6.6827612
ILMN_2360028	7.45928078
ILMN_1879925	6.609284889
ILMN_1726280	6.600146515
ILMN_2215965	6.455689361
ILMN_1791728	9.893299302
ILMN_1905774	6.353907905
ILMN_1827721	6.215848628
ILMN_2138631	6.466265219
ILMN_1761945	6.462966083
ILMN_2218024	6.319234519
ILMN_1913439	6.495377457
ILMN_2314244	7.384113269
ILMN_1895640	6.473805904
ILMN_1873444	6.501871151
ILMN_1806313	6.568906242
ILMN_1810540	6.826577935
ILMN_1697189	6.556040592
ILMN_1896082	6.361399079
ILMN_2399893	8.269410909
ILMN_1740165	11.12018628
ILMN_1833806	6.742917828
ILMN_1802654	8.071811149
ILMN_1908691	6.331422203
ILMN_1680927	6.823791617
ILMN_1745623	7.32267755
ILMN_1722642	6.910448095
ILMN_1761131	8.268122678
ILMN_1751141	6.377842713
ILMN_1851376	6.505669681
ILMN_1654436	6.586705293
ILMN_1675762	6.478442232
ILMN_1713964	7.467131237
ILMN_1858147	6.474793945
ILMN_1781906	9.834683486
ILMN_1699320	6.539917748
ILMN_1732722	6.766525828
ILMN_1798204	6.618455522
ILMN_1871962	6.438422161
ILMN_1754579	7.321225983
ILMN_1690566	6.974710814
ILMN_1907602	6.444224666
ILMN_1877864	6.507933894
ILMN_2296101	6.401695054
ILMN_1676447	6.407639447
ILMN_2183891	6.341142126
ILMN_1763447	11.81482226
ILMN_2157806	6.18172524
ILMN_1836941	6.470859133
ILMN_1887906	6.386138491
ILMN_1736689	6.601472007
ILMN_1812926	8.090301258
ILMN_1659682	6.608237946
ILMN_1874835	6.300607438
ILMN_1664907	6.21354417
ILMN_1873394	6.372737726
ILMN_1727078	7.23804426
ILMN_1794551	6.336819159
ILMN_1792508	12.84655722
ILMN_1904573	6.445177666
ILMN_2348403	7.73489831
ILMN_1804804	6.314512895
ILMN_1680300	6.836408288
ILMN_2283895	6.598891608
ILMN_1771862	8.239941341
ILMN_1799725	6.679659646
ILMN_1850881	6.569685153
ILMN_2403906	7.724206333
ILMN_1755047	6.34586935
ILMN_2317580	8.129825858
ILMN_1662038	6.950544424
ILMN_1845054	6.380646301
ILMN_1696066	6.600007742
ILMN_1787371	6.241871723
ILMN_1671992	7.03028679
ILMN_2205022	6.238543686
ILMN_1803398	11.06064465
ILMN_1678305	6.555408193
ILMN_1736969	6.550445879
ILMN_1678765	6.762529503
ILMN_2404512	7.383327266
ILMN_1727091	7.150524852
ILMN_1671971	10.83350484
ILMN_1670093	6.574479104
ILMN_1748968	8.446986679
ILMN_1821624	6.509949527
ILMN_2094718	15.34360908
ILMN_1731476	6.541103113
ILMN_1783266	6.669543065
ILMN_1752008	6.215314187
ILMN_1911269	6.575945656
ILMN_1702120	6.708423156
ILMN_1668895	6.347625072
ILMN_1734194	8.261966899
ILMN_2046315	6.56840253
ILMN_1878252	6.334372728
ILMN_1767362	6.794177896
ILMN_1751097	10.56302474
ILMN_1811316	6.65835099
ILMN_2322356	6.472051882
ILMN_1854724	6.336490548
ILMN_1666617	6.507021779
ILMN_1690954	6.073928326
ILMN_2208903	6.557437138
ILMN_1676731	7.210034337
ILMN_1880608	6.534844196
ILMN_1723837	6.699205829
ILMN_1768394	9.35643208
ILMN_1659678	6.450788817
ILMN_1694140	6.961167973
ILMN_1875897	6.371174244
ILMN_2250923	6.555187165
ILMN_2052163	9.021282825
ILMN_1665180	6.437883087
ILMN_1786722	7.746678511
ILMN_1828257	6.609430983
ILMN_1764061	6.792161532
ILMN_1846669	6.245182352
ILMN_1850516	6.395751613
ILMN_1733667	8.334973439
ILMN_1781479	10.35350779
ILMN_1758287	6.299598795
ILMN_1776552	8.165417894
ILMN_1884929	6.592770182
ILMN_1884246	6.530262582
ILMN_1868100	6.386035804
ILMN_1733684	6.458840953
ILMN_1766425	6.704379572
ILMN_1909227	6.272958583
ILMN_1683859	12.07741656
ILMN_1691432	9.312303067
ILMN_1708248	6.516419068
ILMN_1697922	6.563320855
ILMN_1860918	6.499032898
ILMN_1867134	7.020104669
